Posizione,Squadra,Pt,G,V,P,Pse,Psu,Mse,Msu,D
1,RECANATI,10,5,5,0,390,290,78.0,58.0,100
2,LORETO,8,4,4,0,375,196,93.75,49.0,179
3,PERUGIA,8,5,4,1,393,300,78.6,60.0,93
4,URBANIA,8,5,4,1,353,303,70.6,60.6,50
5,SAN MARINO,8,5,4,1,330,315,66.0,63.0,15
6,FOSSOMBRONE,6,5,3,2,379,315,75.8,63.0,64
7,P.S. GIORGIO,6,4,3,1,303,251,75.75,62.75,52
8,GUALDO,6,5,3,2,365,355,73.0,71.0,10
9,TOLENTINO,2,4,1,3,253,258,63.25,64.5,-5
10,OSIMO,2,5,1,4,291,366,58.2,73.2,-75
11,UMBERTIDE,2,4,1,3,255,333,63.75,83.25,-78
12,FALCONARA,2,5,1,4,319,413,63.8,82.6,-94
13,SPOLETO,2,5,1,4,292,393,58.4,78.6,-101
14,ASCOLI,0,5,0,5,317,415,63.4,83.0,-98
15,BASKET GIOVANE,0,4,0,4,232,344,58.0,86.0,-112
